ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Apuri-1_1object-1,,Apuri,1_1object,wa,wa,w a,,shimelman2017,,,^ w a $,Apuri
Apuri-2_1subject2object-1,,Apuri,2_1subject2object,yki,yki,j k i,,shimelman2017,,,^ y k i $,Apuri
Apuri-3_1plpossessor-1,,Apuri,3_1plpossessor,nchik,nchik,n tʃ i k,,shimelman2017,,,^ n ch i k $,Apuri
Apuri-4_1plverbal-1,,Apuri,4_1plverbal,nchik,nchik,n tʃ i k,,shimelman2017,,,^ n ch i k $,Apuri
Apuri-5_1plverbalconditional-1,,Apuri,5_1plverbalconditional,chuwan,chuwan,tʃ u w a n,,shimelman2017,,,^ ch u w a n $,Apuri
Apuri-6_1plverbalfuture-1,,Apuri,6_1plverbalfuture,shun,shun,ʃ u n,,shimelman2017,,,^ sh u n $,Apuri
Apuri-7_1spossessor-1,,Apuri,7_1spossessor,tanta-y,tanta-y,t a n t a + j,,shimelman2017,,,^ t a n t a - y $,Apuri
Apuri-8_1ssubject2sobjectfuture-1,,Apuri,8_1ssubject2sobjectfuture,shqayki,shqayki,ʃ q a j k i,variation between sh and s,shimelman2017,,,^ sh q a y k i $,Apuri
Apuri-9_1sverbal-1,,Apuri,9_1sverbal,ka-ni,ka-ni,k a + n i,,shimelman2017,,,^ k a - n i $,Apuri
Apuri-10_1sverbalfuture-1,,Apuri,10_1sverbalfuture,shaq,shaq,ʃ a q,,shimelman2017,,,^ sh a q $,Apuri
Apuri-11_2sconditional-1,,Apuri,11_2sconditional,waq,waq,w a q,,shimelman2017,,,^ w a q $,Apuri
Apuri-12_2sobject-1,,Apuri,12_2sobject,shu,shu,ʃ u,shu/su,shimelman2017,,,^ sh u $,Apuri
Apuri-13_2spossessor-1,,Apuri,13_2spossessor,yki,yki,j k i,,shimelman2017,,,^ y k i $,Apuri
Apuri-14_2ssubject1sobject-1,,Apuri,14_2ssubject1sobject,wanki,wanki,w a n k i,,shimelman2017,,,^ w a n k i $,Apuri
Apuri-15_2sverbal-1,,Apuri,15_2sverbal,nki,nki,n k i,,shimelman2017,,,^ n k i $,Apuri
Apuri-16_3sfuture-1,,Apuri,16_3sfuture,nqa,nqa,n q a,,shimelman2017,,,^ n q a $,Apuri
Apuri-17_3spossessor-1,,Apuri,17_3spossessor,n,n,n,,shimelman2017,,,^ n $,Apuri
Apuri-18_3ssubject1plobject-1,,Apuri,18_3ssubject1plobject,wanchik,wanchik,w a n tʃ i k,,shimelman2017,,,^ w a n ch i k $,Apuri
Apuri-19_3ssubject1sobject-1,,Apuri,19_3ssubject1sobject,wan,wan,w a n,,shimelman2017,,,^ w a n $,Apuri
