"ID","LANGUAGE","CONCEPT","FORM","COMMENTS","SOURCE"
1,"Apuri","1 OBJECT","wa","","shimelman2017"
2,"Apuri","1 SUBJECT 2 OBJECT ","yki","","shimelman2017"
3,"Apuri","1PL POSSESSOR","nchik","","shimelman2017"
4,"Apuri","1PL VERBAL","nchik","","shimelman2017"
5,"Apuri","1PL VERBAL CONDITIONAL","chuwan","","shimelman2017"
6,"Apuri","1PL VERBAL FUTURE","shun","","shimelman2017"
7,"Apuri","1S POSSESSOR","tanta-y","","shimelman2017"
8,"Apuri","1S SUBJECT 2S OBJECT FUTURE","shqayki","variation between sh and s","shimelman2017"
9,"Apuri","1S VERBAL","ka-ni","","shimelman2017"
10,"Apuri","1S VERBAL FUTURE","shaq","","shimelman2017"
11,"Apuri","2S CONDITIONAL","waq","","shimelman2017"
12,"Apuri","2S OBJECT","shu","shu/su","shimelman2017"
13,"Apuri","2S POSSESSOR","yki","","shimelman2017"
14,"Apuri","2S SUBJECT 1S OBJECT","wanki","","shimelman2017"
15,"Apuri","2S VERBAL","nki","","shimelman2017"
16,"Apuri","3S FUTURE","nqa","","shimelman2017"
17,"Apuri","3S POSSESSOR","n","","shimelman2017"
18,"Apuri","3S SUBJECT 1PL OBJECT","wanchik","","shimelman2017"
19,"Apuri","3S SUBJECT 1S OBJECT","wan","","shimelman2017"
20,"Apuri","3S SUBJECT 2S OBJECT","shunki","","shimelman2017"
21,"Apuri","3S VERBAL","n","","shimelman2017"
22,"Apuri","ABLATIVE","paq","","shimelman2017"
23,"Apuri","ACCOMPANIMENT","shi,si","","shimelman2017"
24,"Apuri","ACCUSATIVE","ta","","shimelman2017"
25,"Apuri","ADDITIVE","pis,s","","shimelman2017"
26,"Apuri","AGENTIVE","q","","shimelman2017"
27,"Apuri","BENEFACTIVE","paq","","shimelman2017"
28,"Apuri","CAUSATIVE","chi","","shimelman2017"
29,"Apuri","CERTAINTY","puni","","shimelman2017"
30,"Apuri","CISLOCATIVE","mu","","shimelman2017"
31,"Apuri","COMPARATIVE","hina","","shimelman2017"
32,"Apuri","CONDITIONAL","man","","shimelman2017"
33,"Apuri","CONTINUATIVE","raq","","shimelman2017"
34,"Apuri","DATIVE/ILATIVE","man","","shimelman2017"
35,"Apuri","DESIRATIVE","naya","","shimelman2017"
36,"Apuri","DETRANSITIVIZER","raya","","shimelman2017"
37,"Apuri","DIMINUTIVE","cha","","shimelman2017"
38,"Apuri","DISCONTINUATIVE","ña","","shimelman2017"
39,"Apuri","DISJUNCTIVE","chu","","shimelman2017"
40,"Apuri","DISTAL DEMONSTRATIVE","chay","","shimelman2017"
41,"Apuri","DISTAL REMOVED DEMONSTRATIVE","wak","","shimelman2017"
42,"Apuri","DURATIVE","chka","","shimelman2017"
43,"Apuri","DURATIVE","ya","","shimelman2017"
44,"Apuri","EMPHATIC","ari","","shimelman2017"
45,"Apuri","EMPHATIC","ya","","shimelman2017"
46,"Apuri","EVIDENTIAL CONJECTURAL","tri,tr","","shimelman2017"
47,"Apuri","EVIDENTIAL DIRECT","mi,m","","shimelman2017"
48,"Apuri","EVIDENTIAL MODIFER","ik","","shimelman2017"
49,"Apuri","EVIDENTIAL MODIFER (STRONGEST)","iki","","shimelman2017"
50,"Apuri","EVIDENTIAL REPORTATIVE","shi,sh","","shimelman2017"
51,"Apuri","EXCEPTIONAL","yku,yka/ika/iku","","shimelman2017"
52,"Apuri","EXCLUSIVE","pura","","shimelman2017"
53,"Apuri","FACTIVE","cha","","shimelman2017"
54,"Apuri","FREQUENTIVE","katra","","shimelman2017"
55,"Apuri","GENITIVE","pa,pi","","shimelman2017"
56,"Apuri","IMPERATIVE","y","","shimelman2017"
57,"Apuri","INCEPTIVE","ri","","shimelman2017"
58,"Apuri","INCHOATIVE","ya","","shimelman2017"
59,"Apuri","INCLUSIVE","ntin","","shimelman2017"
60,"Apuri","INFINITIVE","y","","shimelman2017"
61,"Apuri","INJUNCTIVE","chun","","shimelman2017"
62,"Apuri","INSTRUMENTAL-COMITATIVE","wan","","shimelman2017"
63,"Apuri","INTENSIFIER","ya","","shimelman2017"
64,"Apuri","IRREVERSIBLE CHANGE","tamu","","shimelman2017"
65,"Apuri","JOINT ACTION","paku,paːku","","shimelman2017"
66,"Apuri","LIMITATIVE","kama","","shimelman2017"
67,"Apuri","LOCATIVE","pa,pi","","shimelman2017"
68,"Apuri","MIDDLE VOICE","ku","U","shimelman2017"
69,"Apuri","MULTIPLE POSSESSIVE","sapa","","shimelman2017"
70,"Apuri","MUTUAL BENEFIT","puku","","shimelman2017"
71,"Apuri","NEGATION","chu","","shimelman2017"
72,"Apuri","NOMINALIZER NA","na","","shimelman2017"
73,"Apuri","NON-EXHAUSTIVE","kuna","","shimelman2017"
74,"Apuri","PARTNERSHIP","masi","","shimelman2017"
75,"Apuri","PASSIVE ACCIDENTAL","ka","","shimelman2017"
76,"Apuri","PAST TENSE","rqa","","shimelman2017"
77,"Apuri","PERFECT","sha,sa","","shimelman2017"
78,"Apuri","PERFECTIVIZER","sha,sa","nmlz","shimelman2017"
79,"Apuri","PLURAL","kuna","","shimelman2017"
80,"Apuri","POSSESSIVE","yuq","","shimelman2017"
81,"Apuri","PROHIBITIVE","ama","","shimelman2017"
82,"Apuri","PROXIMAL DEMONSTRATIVE","kay","","shimelman2017"
83,"Apuri","PURPOSIVE","paq","","shimelman2017"
84,"Apuri","REASON","rayku","","shimelman2017"
85,"Apuri","RECIPROCAL","naku,naka","","shimelman2017"
86,"Apuri","REPETITIVE","pa","","shimelman2017"
87,"Apuri","REPORTATIVE PAST TENSE","shqa","","shimelman2017"
88,"Apuri","RESTRICTIVE","lla","","shimelman2017"
89,"Apuri","SEQUENTIAL","taq","","shimelman2017"
90,"Apuri","SIMULATIVE","tuku","","shimelman2017"
91,"Apuri","SUBORDINATOR ADVERBIAL","shtin","","shimelman2017"
92,"Apuri","SUBORDINATOR IDSUB","shpa","","shimelman2017"
93,"Apuri","SUBORIDNATOR DIFFSUB","pti","","shimelman2017"
94,"Apuri","TOPIC","qa","","shimelman2017"
95,"Apuri","TRANSLOCATIVE","pu,pa","","shimelman2017"
96,"Apuri","UNINTERRUPTED ACTION","ra","","shimelman2017"
97,"Apuri","URGENT","ru,ra","","shimelman2017"
98,"Apuri","VERBALIZER","na","some reciprocal action","shimelman2017"
99,"Apurimac","1 OBJECT","wa","","camacho2006"
100,"Apurimac","1 SUBJECT 2 OBJECT ","yki ","","camacho2006"
101,"Apurimac","1PL EXCLUSIVE","saqku","","camacho2006"
102,"Apurimac","1PL POSSESSOR","nchik,nchis","","camacho2006"
103,"Apurimac","1PL POSSESSOR EXCLUSIVE","iku ","","camacho2006"
104,"Apurimac","1PL SUBJECT 2S OBJECT ","sqaykiku, ykiku","","camacho2006"
105,"Apurimac","1PL VERBAL","sunchis","","camacho2006"
106,"Apurimac","1PL VERBAL EXCLUSIVE","niku, saqku ","","camacho2006"
107,"Apurimac","1PL VERBAL FUTURE","sunchis","","parker1976"
108,"Apurimac","1S POSSESSOR","tanta-y","","camacho2006"
109,"Apurimac","1S SUBJECT 2PL OBJECT","sqayki ","","camacho2006"
110,"Apurimac","1S VERBAL","ka-ni","","camacho2006"
111,"Apurimac","1S VERBAL FUTURE","saq","","camacho2006"
112,"Apurimac","2PL POSSESSOR","ykichis ","","camacho2006"
113,"Apurimac","2PL SUBJECT 1S OBJECT","wankichis, waychis ","","camacho2006"
114,"Apurimac","2PL VERBAL","nkichis","","camacho2006"
115,"Apurimac","2S POSSESSOR","ki ","","camacho2006"
116,"Apurimac","2S SUBJECT 1PL OBJECT","wankiku, wayku ","","camacho2006"
117,"Apurimac","2S SUBJECT 1S OBJECT","wanki, way ","","camacho2006"
118,"Apurimac","2S VERBAL","nki","","camacho2006"
119,"Apurimac","3PL POSSESSOR","nku","","camacho2006"
120,"Apurimac","3PL VERBAL","nku,nqaku","","camacho2006"
121,"Apurimac","3S FUTURE","nqa","","camacho2006"
122,"Apurimac","3S POSSESSOR","n ","","camacho2006"
123,"Apurimac","3S SUBJECT 1PL OBJECT","wanchis, wanku, wanqaku  ","","camacho2006"
124,"Apurimac","3S SUBJECT 1S OBJECT","wan, wanqa","","camacho2006"
125,"Apurimac","3S SUBJECT 2S OBJECT","sunki ","","camacho2006"
126,"Apurimac","3S VERBAL","n","","camacho2006"
127,"Apurimac","ABLATIVE","manta","","camacho2006"
128,"Apurimac","ACCOMPANIMENT","ysi","","camacho2006"
129,"Apurimac","ACCUSATIVE","ta ","","camacho2006"
130,"Apurimac","ADDITIVE","pas ","","camacho2006"
131,"Apurimac","AGENTIVE","q ","","camacho2006"
132,"Apurimac","AUGMENTATIVE","su, sara","","camacho2006"
133,"Apurimac","BENEFACTIVE","paq","","camacho2006"
134,"Apurimac","CAUSATIVE","chi ","","camacho2006"
