DOCULECT	FORM	SOURCE
Apuri	wa	shimelman2017
Apuri	yki	shimelman2017
Apuri	nchik	shimelman2017
Apuri	nchik	shimelman2017
Apuri	chuwan	shimelman2017
Apuri	shun	shimelman2017
Apuri	tanta-y	shimelman2017
Apuri	shqayki	shimelman2017
Apuri	ka-ni	shimelman2017
Apuri	shaq	shimelman2017
Apuri	waq	shimelman2017
Apuri	shu	shimelman2017
Apuri	yki	shimelman2017
Apuri	wanki	shimelman2017
Apuri	nki	shimelman2017
Apuri	nqa	shimelman2017
Apuri	n	shimelman2017
Apuri	wanchik	shimelman2017
Apuri	wan	shimelman2017
Apuri	shunki	shimelman2017
Apuri	n	shimelman2017
Apuri	paq	shimelman2017
Apuri	shi,si	shimelman2017
Apuri	ta	shimelman2017
Apuri	pis,s	shimelman2017
Apuri	q	shimelman2017
Apuri	paq	shimelman2017
Apuri	chi	shimelman2017
Apuri	puni	shimelman2017
Apuri	mu	shimelman2017
Apuri	hina	shimelman2017
Apuri	man	shimelman2017
Apuri	raq	shimelman2017
Apuri	man	shimelman2017
Apuri	naya	shimelman2017
Apuri	raya	shimelman2017
Apuri	cha	shimelman2017
Apuri	ña	shimelman2017
Apuri	chu	shimelman2017
Apuri	chay	shimelman2017
Apuri	wak	shimelman2017
Apuri	chka	shimelman2017
Apuri	ya	shimelman2017
Apuri	ari	shimelman2017
Apuri	ya	shimelman2017
Apuri	tri,tr	shimelman2017
Apuri	mi,m	shimelman2017
Apuri	ik	shimelman2017
Apuri	iki	shimelman2017
Apuri	shi,sh	shimelman2017
Apuri	yku,yka/ika/iku	shimelman2017
Apuri	pura	shimelman2017
Apuri	cha	shimelman2017
Apuri	katra	shimelman2017
Apuri	pa,pi	shimelman2017
Apuri	y	shimelman2017
Apuri	ri	shimelman2017
Apuri	ya	shimelman2017
Apuri	ntin	shimelman2017
Apuri	y	shimelman2017
Apuri	chun	shimelman2017
Apuri	wan	shimelman2017
Apuri	ya	shimelman2017
Apuri	tamu	shimelman2017
Apuri	paku,paːku	shimelman2017
Apuri	kama	shimelman2017
Apuri	pa,pi	shimelman2017
Apuri	ku	shimelman2017
Apuri	sapa	shimelman2017
Apuri	puku	shimelman2017
Apuri	chu	shimelman2017
Apuri	na	shimelman2017
Apuri	kuna	shimelman2017
Apuri	masi	shimelman2017
Apuri	ka	shimelman2017
Apuri	rqa	shimelman2017
Apuri	sha,sa	shimelman2017
Apuri	sha,sa	shimelman2017
Apuri	kuna	shimelman2017
Apuri	yuq	shimelman2017
Apuri	ama	shimelman2017
Apuri	kay	shimelman2017
Apuri	paq	shimelman2017
Apuri	rayku	shimelman2017
Apuri	naku,naka	shimelman2017
Apuri	pa	shimelman2017
Apuri	shqa	shimelman2017
Apuri	lla	shimelman2017
Apuri	taq	shimelman2017
Apuri	tuku	shimelman2017
Apuri	shtin	shimelman2017
Apuri	shpa	shimelman2017
Apuri	pti	shimelman2017
Apuri	qa	shimelman2017
Apuri	pu,pa	shimelman2017
Apuri	ra	shimelman2017
Apuri	ru,ra	shimelman2017
Apuri	na	shimelman2017
Apurimac	wa	camacho2006
Apurimac	yki 	camacho2006
Apurimac	saqku	camacho2006
Apurimac	nchik,nchis	camacho2006
Apurimac	iku 	camacho2006
Apurimac	sqaykiku, ykiku	camacho2006
Apurimac	sunchis	camacho2006
Apurimac	niku, saqku 	camacho2006
Apurimac	sunchis	parker1976
Apurimac	tanta-y	camacho2006
Apurimac	sqayki 	camacho2006
Apurimac	ka-ni	camacho2006
Apurimac	saq	camacho2006
Apurimac	ykichis 	camacho2006
Apurimac	wankichis, waychis 	camacho2006
Apurimac	nkichis	camacho2006
Apurimac	ki 	camacho2006
Apurimac	wankiku, wayku 	camacho2006
Apurimac	wanki, way 	camacho2006
Apurimac	nki	camacho2006
Apurimac	nku	camacho2006
Apurimac	nku,nqaku	camacho2006
Apurimac	nqa	camacho2006
Apurimac	n 	camacho2006
Apurimac	wanchis, wanku, wanqaku  	camacho2006
Apurimac	wan, wanqa	camacho2006
Apurimac	sunki 	camacho2006
Apurimac	n	camacho2006
Apurimac	manta	camacho2006
Apurimac	ysi	camacho2006
Apurimac	ta 	camacho2006
Apurimac	pas 	camacho2006
Apurimac	q 	camacho2006
Apurimac	su, sara	camacho2006
Apurimac	paq	camacho2006
Apurimac	chi 	camacho2006
Apurimac	puni 	camacho2006
Apurimac	mu 	camacho2006
Apurimac	mu 	camacho2006
Apurimac	man 	camacho2006
Apurimac	raq	camacho2006
Apurimac	raya 	camacho2006
Apurimac	man	camacho2006
Apurimac	naya 	camacho2006
Apurimac	cha	camacho2006
Apurimac	chay	camacho2006
Apurimac	haqay	camacho2006
Apurimac	chka 	camacho2006
Apurimac	ykacha	camacho2006
Apurimac	ari	camacho2006
Apurimac	cha 	camacho2006
Apurimac	mi	camacho2006
Apurimac	iki	camacho2006
Apurimac	yku 	camacho2006
Apurimac	pura 	camacho2006
Apurimac	pa 	camacho2006
Apurimac	ri 	camacho2006
Apurimac	ya 	camacho2006
Apurimac	ntin 	camacho2006
Apurimac	y 	camacho2006
Apurimac	chunku, y, ychis 	camacho2006
Apurimac	wan	camacho2006
Apurimac	pi 	camacho2006
Apurimac	ku 	camacho2006
Apurimac	sapa 	camacho2006
Apurimac	chu 	camacho2006
Apurimac	na 	camacho2006
Apurimac	rqa 	camacho2006
Apurimac	ral 	camacho2006
Apurimac	sqa 	camacho2006
Apurimac	sqa	camacho2006
Apurimac	stin 	camacho2006
Apurimac	kuna	camacho2006
Apurimac	yoq 	camacho2006
Apurimac	kay	camacho2006
Apurimac	rayku	camacho2006
Apurimac	rayku 	camacho2006
Apurimac	naku 	camacho2006
Apurimac	pa, paya 	camacho2006
Apurimac	sqa 	camacho2006
Apurimac	lla, kama	camacho2006
Apurimac	taq 	camacho2006
Apurimac	tiya 	camacho2006
Apurimac	spa 	camacho2006
Apurimac	pti	camacho2006
Apurimac	rqu 	camacho2006
Apurimac	pu	camacho2006
Apurimac	ña	camacho2006
Apurimac	ya 	camacho2006
Ayacucho	yki	parker1969
